Ticker,Name,Sector,Asset Class
AAPL,APPLE INC,Information Technology,Equity
NVDA,NVIDIA CORP,Information Technology,Equity
MSFT,MICROSOFT CORP,Information Technology,Equity
AMZN,AMAZON COM INC,Consumer Discretionary,Equity
META,META PLATFORMS INC CLASS A,Communication,Equity
GOOGL,ALPHABET INC CLASS A,Communication,Equity
AVGO,BROADCOM INC,Information Technology,Equity
TSLA,TESLA INC,Consumer Discretionary,Equity
GOOG,ALPHABET INC CLASS C,Communication,Equity
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity
JPM,JPMORGAN CHASE & CO,Financials,Equity
LLY,ELI LILLY,Health Care,Equity
V,VISA INC CLASS A,Financials,Equity
XOM,EXXON MOBIL CORP,Energy,Equity
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity
MA,MASTERCARD INC CLASS A,Financials,Equity
NFLX,NETFLIX INC,Communication,Equity
WMT,WALMART INC,Consumer Staples,Equity
HD,HOME DEPOT INC,Consumer Discretionary,Equity
PG,PROCTER & GAMBLE,Consumer Staples,Equity
JNJ,JOHNSON & JOHNSON,Health Care,Equity
ABBV,ABBVIE INC,Health Care,Equity
BAC,BANK OF AMERICA CORP,Financials,Equity
CRM,SALESFORCE INC,Information Technology,Equity
ORCL,ORACLE CORP,Information Technology,Equity
CVX,CHEVRON CORP,Energy,Equity
KO,COCA-COLA,Consumer Staples,Equity
WFC,WELLS FARGO,Financials,Equity
CSCO,CISCO SYSTEMS INC,Information Technology,Equity
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity
ABT,ABBOTT LABORATORIES,Health Care,Equity
GE,GE AEROSPACE,Industrials,Equity
MCD,MCDONALDS CORP,Consumer Discretionary,Equity
LIN,LINDE PLC,Materials,Equity
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity
MRK,MERCK & CO INC,Health Care,Equity
ADBE,ADOBE INC,Information Technology,Equity
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity
GS,GOLDMAN SACHS GROUP INC,Financials,Equity
NOW,SERVICENOW INC,Information Technology,Equity
DIS,WALT DISNEY,Communication,Equity
PEP,PEPSICO INC,Consumer Staples,Equity
QCOM,QUALCOMM INC,Information Technology,Equity
T,AT&T INC,Communication,Equity
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity
AXP,AMERICAN EXPRESS,Financials,Equity
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity
CAT,CATERPILLAR INC,Industrials,Equity
SPGI,S&P GLOBAL INC,Financials,Equity
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity
RTX,RTX CORP,Industrials,Equity
UBER,UBER TECHNOLOGIES INC,Industrials,Equity
MS,MORGAN STANLEY,Financials,Equity
INTU,INTUIT INC,Information Technology,Equity
C,CITIGROUP INC,Financials,Equity
AMGN,AMGEN INC,Health Care,Equity
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity
PGR,PROGRESSIVE CORP,Financials,Equity
UNP,UNION PACIFIC CORP,Industrials,Equity
PFE,PFIZER INC,Health Care,Equity
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity
BLK,BLACKROCK INC,Financials,Equity
TJX,TJX INC,Consumer Discretionary,Equity
